,Laptop Names,price(In Rs),Saved(In Rs)
0,Vostro 3510 Laptop,"₹ 34,990.02","₹ 10,000.0"
1,Vostro 3510 Laptop - Best Seller,"₹ 41,990.02","₹ 10,000.0"
2,Vostro 3510 Laptop - Comes with 2 Years Warranty,"₹ 57,990.03","₹ 10,000.0"
3,Vostro 3510 Laptop - Comes with 2 Years Warranty,"₹ 62,990.00","₹ 9,999.99"
4,Vostro 3510 Laptop,"₹ 55,990.01","₹ 10,000.0"
5,Vostro 3510 Laptop,"₹ 70,990.01","₹ 10,000.0"
6,Vostro 3510 Laptop,"₹ 45,490.01","₹ 10,000.0"
7,Vostro 14 3400 Laptop,"₹ 58,499.01","₹ 18,061.9"
8,Vostro 3510 Laptop,"₹ 64,989.99","₹ 10,000.0"
9,Vostro 3515 Laptop,"₹ 34,490.00","₹ 10,000.0"
